Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
15/01/2020 18:00;PT;183;{'nuclear': None, 'geothermal': None, 'biomass': 267, 'coal': None, 'wind': 2159, 'solar': None, 'hydro': 2475, 'gas': 2375, 'oil': None, 'unknown': 25, 'hydro discharge': 838, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 378, 'coal': None, 'wind': 3056, 'solar': None, 'hydro': 3503, 'gas': 3362, 'oil': None, 'unknown': 35, 'hydro discharge': 1186, 'battery discharge': None};{'ES': 0};{'ES': 3381};71;71;8139;11520;0;3381
16/01/2020 00:00;PT;117;{'nuclear': 7, 'geothermal': 0, 'biomass': 330, 'coal': 1, 'wind': 3242, 'solar': 0, 'hydro': 1191, 'gas': 1064, 'oil': 0, 'unknown': 32, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 368, 'coal': None, 'wind': 3618, 'solar': None, 'hydro': 1329, 'gas': 1185, 'oil': None, 'unknown': 36, 'hydro discharge': -693, 'battery discharge': None};{'ES': 25};{'ES': 0};81;81;5868;6536;25;0
16/01/2020 06:00;PT;117;{'nuclear': None, 'geothermal': None, 'biomass': 240, 'coal': None, 'wind': 2615, 'solar': None, 'hydro': 1591, 'gas': 1014, 'oil': None, 'unknown': 22, 'hydro discharge': 73, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 363, 'coal': None, 'wind': 3963, 'solar': None, 'hydro': 2411, 'gas': 1536, 'oil': None, 'unknown': 34, 'hydro discharge': 110, 'battery discharge': None};{'ES': 0};{'ES': 2863};81;81;5554;8417;0;2863
16/01/2020 12:00;PT;139;{'nuclear': None, 'geothermal': None, 'biomass': 296, 'coal': None, 'wind': 3504, 'solar': 296, 'hydro': 1656, 'gas': 1760, 'oil': None, 'unknown': 30, 'hydro discharge': 60, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 364, 'coal': None, 'wind': 4306, 'solar': 364, 'hydro': 2035, 'gas': 2163, 'oil': None, 'unknown': 37, 'hydro discharge': 74, 'battery discharge': None};{'ES': 0};{'ES': 1741};76;76;7602;9343;0;1741
16/01/2020 18:00;PT;159;{'nuclear': None, 'geothermal': None, 'biomass': 276, 'coal': None, 'wind': 2700, 'solar': None, 'hydro': 2053, 'gas': 1820, 'oil': None, 'unknown': 17, 'hydro discharge': 1394, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 373, 'coal': None, 'wind': 3642, 'solar': None, 'hydro': 2770, 'gas': 2456, 'oil': None, 'unknown': 23, 'hydro discharge': 1880.9999999999998, 'battery discharge': None};{'ES': 0};{'ES': 2884};78;78;8261;11145;0;2884
17/01/2020 00:00;PT;131;{'nuclear': None, 'geothermal': None, 'biomass': 262, 'coal': None, 'wind': 1819, 'solar': None, 'hydro': 909, 'gas': 773, 'oil': None, 'unknown': 24, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 390, 'coal': None, 'wind': 2712, 'solar': None, 'hydro': 1355, 'gas': 1153, 'oil': None, 'unknown': 36, 'hydro discharge': -1860, 'battery discharge': None};{};{};79;79;3786;5646;0;0
17/01/2020 06:00;PT;177;{'nuclear': None, 'geothermal': None, 'biomass': 307, 'coal': 82, 'wind': 1949, 'solar': None, 'hydro': 1625, 'gas': 1556, 'oil': None, 'unknown': 28, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 376, 'coal': 100, 'wind': 2388, 'solar': None, 'hydro': 1991, 'gas': 1906, 'oil': None, 'unknown': 34, 'hydro discharge': -165, 'battery discharge': None};{'ES': 0};{'ES': 1083};70;70;5547;6795;0;1083
17/01/2020 12:00;PT;294;{'nuclear': 206, 'geothermal': None, 'biomass': 413, 'coal': 125, 'wind': 440, 'solar': 401, 'hydro': 1342, 'gas': 3442, 'oil': 4, 'unknown': 41, 'hydro discharge': 874, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 393, 'coal': 85, 'wind': 164, 'solar': 303, 'hydro': 1239, 'gas': 3240, 'oil': None, 'unknown': 36, 'hydro discharge': 874, 'battery discharge': None};{'ES': 953};{'ES': 0};50;48;7287;6334;953;0
17/01/2020 18:00;PT;262;{'nuclear': None, 'geothermal': None, 'biomass': 319, 'coal': 164, 'wind': 258, 'solar': None, 'hydro': 2388, 'gas': 2883, 'oil': None, 'unknown': 29, 'hydro discharge': 1624, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 387, 'coal': 199, 'wind': 313, 'solar': None, 'hydro': 2901, 'gas': 3502, 'oil': None, 'unknown': 35, 'hydro discharge': 1973, 'battery discharge': None};{'ES': 0};{'ES': 1646};60;60;7664;9310;0;1646
18/01/2020 00:00;PT;193;{'nuclear': None, 'geothermal': None, 'biomass': 315, 'coal': None, 'wind': 1845, 'solar': None, 'hydro': 935, 'gas': 1572, 'oil': None, 'unknown': 31, 'hydro discharge': 734, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 362, 'coal': None, 'wind': 2118, 'solar': None, 'hydro': 1074, 'gas': 1805, 'oil': None, 'unknown': 36, 'hydro discharge': 843, 'battery discharge': None};{'ES': 0};{'ES': 805};70;70;5433;6238;0;805
