;date;totale production;total consumption;diff conso / prod (%);carbon production (kg);new carbon production (kg)
;04/03/2020 00:00;277150;257315;7.156774309940466;67274037;45035754
;04/03/2020 06:00;319469;314889;1.4336289280024042;85994692;61351501
;04/03/2020 12:00;334985;324201;3.219248623072675;85329219;61151289
;04/03/2020 18:00;328986;329273;-0.08723775479807652;92164893;67515062
;05/03/2020 00:00;267532;252428;5.645679769149111;67389610;46669212
;05/03/2020 06:00;311021;305509;1.7722275987795035;84907578;61274823
;05/03/2020 12:00;335641;323845;3.514469328836465;82592715;59258089
;05/03/2020 18:00;338881;329243;2.8440662061313557;82176844;58388459
;06/03/2020 00:00;280674;257183;8.369496283945075;53149931;36369364
;06/03/2020 06:00;323536;311138;3.832031056822115;75359994;53446334
;06/03/2020 12:00;333084;324229;2.6584885494349773;74212638;53014965
;06/03/2020 18:00;326010;322425;1.0996595196466366;78242008;56678900
;07/03/2020 00:00;264283;252429;4.48534336298589;59291476;41574350
;07/03/2020 06:00;270356;260968;3.472458536152333;61794123;43878492
;07/03/2020 12:00;298616;283323;5.121292897902323;61091672;42595588
;07/03/2020 18:00;295901;290194;1.9286856076863546;68386495;48685397
;08/03/2020 00:00;248386;236640;4.7289299718985776;45218873;31036415
;08/03/2020 06:00;251852;234339;6.953687086066419;44312383;29768835
;08/03/2020 12:00;285169;266218;6.645532999729984;47860820;30946057
;08/03/2020 18:00;290030;282732;2.516291418129159;58363336;41814466
;09/03/2020 00:00;250775;232815;7.161798424882863;51415207;35596675
;09/03/2020 06:00;305382;303326;0.6732551361900831;73859450;55557981
;09/03/2020 12:00;326028;315443;3.246653661648693;76101511;56481556
;09/03/2020 18:00;324887;323136;0.5389566218408246;82730877;61095197
;10/03/2020 00:00;266796;248046;7.027841496874015;49575574;32854447
;10/03/2020 06:00;317073;309638;2.344885878015473;64238790;46884354
;10/03/2020 12:00;332540;321498;3.3205027966560414;66304156;47814360
;10/03/2020 18:00;334787;324504;3.0715051659711996;69976041;50457469
;11/03/2020 00:00;269160;245737;8.702258879476892;47284879;31315977
;11/03/2020 06:00;304451;299015;1.785508998163908;65079463;47910254
;11/03/2020 12:00;321934;310632;3.510657463952239;62182625;45083397
;11/03/2020 18:00;317277;314318;0.9326235434651741;71387458;52325914
;12/03/2020 00:00;261443;241866;7.48805667009635;45461355;29875237
;12/03/2020 06:00;303356;297308;1.993697174277087;57546014;40728613
;12/03/2020 12:00;326135;310981;4.646542076134116;56381014;37995724
;12/03/2020 18:00;315831;318350;-0.797578451766926;65548531;46711357
;13/03/2020 00:00;267032;247545;7.297627250666587;46022271;29875050
;13/03/2020 06:00;311814;303213;2.758375185206565;61278556;43264626
;13/03/2020 12:00;329069;311809;5.245100571612641;59427793;40867265
;13/03/2020 18:00;315407;312188;1.0205860998646195;73930906;52357049
;14/03/2020 00:00;249149;241370;3.1222280643309825;60030876;40421535
;14/03/2020 06:00;252530;247724;1.903140220963846;59758270;41471983
;14/03/2020 12:00;279708;269012;3.8239878730676273;56260053;38128266
;14/03/2020 18:00;287392;283247;1.4422809264001781;66971424;46106344
;15/03/2020 00:00;235996;227591;3.561501042390549;41608241;27714797
;15/03/2020 06:00;236740;223887;5.4291627946270165;41025805;24978863
;15/03/2020 12:00;276133;255649;7.418164435254027;45739455;25740514
;15/03/2020 18:00;277489;271142;2.2872978748707156;54547236;37186976
;16/03/2020 00:00;240943;226642;5.935428711354968;46083046;29689349
;16/03/2020 06:00;288961;283507;1.8874519398811604;69091570;47818594
;16/03/2020 12:00;311986;301735;3.2857243594263847;70605179;48291318
;16/03/2020 18:00;304507;308585;-1.3392138768566897;82540525;59181412
;17/03/2020 00:00;249290;235946;5.3528019575594685;61647811;41789441
;17/03/2020 06:00;289331;281830;2.5925324282569098;73214788;51061433
;17/03/2020 12:00;312745;298829;4.449631488912693;69183542;47046100
;17/03/2020 18:00;305161;301228;1.2888278646353892;77887307;55407199
;18/03/2020 00:00;250498;231135;7.729802233949972;57310631;37368450
;18/03/2020 06:00;281780;272398;3.3295478742281213;65062290;44902088
;18/03/2020 12:00;300266;288381;3.958157100704043;59158898;40378318
;18/03/2020 18:00;293812;292963;0.28896028753080205;75170981;54037062
;19/03/2020 00:00;238688;225109;5.689016624212361;62532905;42588724
;19/03/2020 06:00;269243;264440;1.783890388979472;71632428;51273676
;19/03/2020 12:00;286127;279021;2.483512566098271;66784891;48384380
;19/03/2020 18:00;286893;285611;0.4468564935359176;77788422;56955699
;20/03/2020 00:00;231522;221512;4.32356320349686;56263215;40689889
;20/03/2020 06:00;261395;260267;0.43153082499665263;66549493;48549437
;20/03/2020 12:00;287444;280723;2.3381945700727793;63639411;46262945
;20/03/2020 18:00;285892;283418;0.8653617449946133;68235838;49109338
;21/03/2020 00:00;232324;219859;5.365351836228715;42092978;27582240
;21/03/2020 06:00;232249;221853;4.476230252875147;41858472;27739168
;21/03/2020 12:00;273802;259675;5.159567862908233;47176460;29098264
;21/03/2020 18:00;271190;268163;1.1161915999852503;51911357;36153297
;22/03/2020 00:00;222254;216681;2.507491428725692;40578217;26447756
;22/03/2020 06:00;220459;210719;4.418055057856563;40453655;25024613
;22/03/2020 12:00;266590;249556;6.389587006264301;45478060;26044818
;22/03/2020 18:00;265215;265271;-0.021114944479007598;50292322;35078685
;23/03/2020 00:00;227508;220282;3.1761520474005307;40786974;26233513
;23/03/2020 06:00;261419;265111;-1.412292144029317;50916361;36967961
;23/03/2020 12:00;294246;286736;2.5522861823100396;52324477;36227886
;23/03/2020 18:00;288988;292712;-1.2886348222071504;63444174;45330859
;24/03/2020 00:00;243421;231741;4.798271307734337;48059842;31907052
;24/03/2020 06:00;268044;267829;0.08021071167420274;56562294;40817135
;24/03/2020 12:00;296355;283431;4.360985979652781;53501663;37064474
;24/03/2020 18:00;286962;290851;-1.3552317031523338;65779124;47642747
;25/03/2020 00:00;241501;230729;4.460437016823946;51636587;34875954
;25/03/2020 06:00;264274;267463;-1.206702134905439;58468668;42398932
;25/03/2020 12:00;294226;280818;4.557041186027068;55503944;38274369
;25/03/2020 18:00;286259;288335;-0.7252173730782263;63839891;45807781
;26/03/2020 00:00;234273;228678;2.3882393617702427;48035947;32320463
;26/03/2020 06:00;265825;264780;0.39311577165428385;58200316;41438713
;26/03/2020 12:00;297291;283148;4.7572916771782525;53633115;36357053
;26/03/2020 18:00;285682;287815;-0.7466343696837743;61834706;44036494
;27/03/2020 00:00;235602;229388;2.637498832777311;52341358;35069022
;27/03/2020 06:00;262657;263482;-0.31409785385502764;58186710;40859328
;27/03/2020 12:00;286704;274920;4.110162397455215;53051401;35584958
;27/03/2020 18:00;277803;280492;-0.9679521099484167;61683247;43421767
;28/03/2020 00:00;225325;219626;2.5292355486519473;48987957;32946902
;28/03/2020 06:00;220390;219059;0.6039293978855665;43862482;29966895
;28/03/2020 12:00;260649;244527;6.1853296962581865;47119261;28745265
;28/03/2020 18:00;261402;259273;0.8144543653070749;49156388;34539561
;29/03/2020 00:00;214589;209123;2.547194870193719;37044639;23919115
;29/03/2020 06:00;220928;209114;5.3474435110081115;38504908;22313919
;29/03/2020 12:00;262916;246870;6.1030899602915;42308194;23671346
;29/03/2020 18:00;258815;258512;0.1170720398740413;43512725;29288398
;30/03/2020 00:00;222731;217240;2.4653056826395967;41869773;27420507
;30/03/2020 06:00;272794;276566;-1.3827283591281334;60135953;42559950
;30/03/2020 12:00;290899;282198;2.991072502827442;57671934;40005262
;30/03/2020 18:00;281094;281834;-0.26325713106647597;67311242;48391564
;31/03/2020 00:00;240304;224873;6.421449497303415;58471101;39015254
;31/03/2020 06:00;275796;275397;0.14467214897968064;68105682;48720952
;31/03/2020 12:00;288651;274810;4.795063935340601;61921978;43367167
;31/03/2020 18:00;275843;275958;-0.041690381847645216;67060035;48812484
;01/04/2020 00:00;230863;222087;3.801388702390595;53691056;36111649
;01/04/2020 06:00;268511;273639;-1.909791405193828;62502752;44738609
;01/04/2020 12:00;279055;271018;2.880077404095967;54032989;37180011
;01/04/2020 18:00;270251;272281;-0.7511535572486319;65892108;47490225
;02/04/2020 00:00;227473;222473;2.1980630668255134;55268314;36859227
;02/04/2020 06:00;268879;270999;-0.7884587491027563;61844457;43577805
;02/04/2020 12:00;283295;272952;3.6509645422615997;49956802;33748270
;02/04/2020 18:00;273979;273357;0.22702469897327898;55721263;39836381
;03/04/2020 00:00;235467;221065;6.116356007423546;46190597;29749238
;03/04/2020 06:00;267011;268712;-0.6370524060806484;57481407;40105758
;03/04/2020 12:00;276982;268618;3.019690810233156;53364891;37034781
;03/04/2020 18:00;264047;264360;-0.11853950243706612;61469611;44962385
;04/04/2020 00:00;216733;213149;1.6536475755883968;49715584;33115171
;04/04/2020 06:00;228262;225711;1.117575417721741;48970554;33152832
;04/04/2020 12:00;252872;235521;6.861574235186181;43057105;26076293
;04/04/2020 18:00;242248;244628;-0.9824642515108484;54441680;38623974
;05/04/2020 00:00;204835;199338;2.683623404203383;36346733;21288470
;05/04/2020 06:00;209687;204487;2.479886688254398;36219781;20582825
;05/04/2020 12:00;243995;225945;7.397692575667534;38793577;20277926
;05/04/2020 18:00;232253;235516;-1.4049334131313695;40057027;26821058
;06/04/2020 00:00;208463;198544;4.7581585221358225;34878206;19683288
;06/04/2020 06:00;246979;248620;-0.664428959547168;43896763;30691710
