Date;Zone;Carbon Intensity;consumption;production;import;export;fossilFreePercentage;renewablePercentage;powerConsumptionTotal;powerProductionTotal;powerImportTotal;powerExportTotal
2020-01-05 03:00:00;IT-SAR;504;{'nuclear': None, 'geothermal': None, 'biomass': 25, 'coal': 217, 'wind': 91, 'solar': None, 'hydro': 33, 'gas': 298, 'oil': 10, 'unknown': 12, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 422, 'wind': 178, 'solar': None, 'hydro': 65, 'gas': 579, 'oil': 19, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 649};22;22;686;1335;0;649
2020-01-05 06:00:00;IT-SAR;547;{'nuclear': None, 'geothermal': None, 'biomass': 32, 'coal': 276, 'wind': 46, 'solar': None, 'hydro': 42, 'gas': 378, 'oil': 12, 'unknown': 15, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 422, 'wind': 71, 'solar': None, 'hydro': 65, 'gas': 579, 'oil': 19, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 426};15;15;802;1228;0;426
2020-01-05 09:00:00;IT-SAR;499;{'nuclear': None, 'geothermal': None, 'biomass': 33, 'coal': 284, 'wind': 15, 'solar': 123, 'hydro': 44, 'gas': 389, 'oil': 13, 'unknown': 16, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 422, 'wind': 22, 'solar': 182, 'hydro': 65, 'gas': 577, 'oil': 19, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 443};23;23;916;1359;0;443
2020-01-05 12:00:00;IT-SAR;472;{'nuclear': None, 'geothermal': None, 'biomass': 29, 'coal': 249, 'wind': 34, 'solar': 136, 'hydro': 38, 'gas': 340, 'oil': 11, 'unknown': 14, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 422, 'wind': 57.00000000000001, 'solar': 230, 'hydro': 65, 'gas': 575, 'oil': 18, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 589};28;28;850;1439;0;589
2020-01-05 15:00:00;IT-SAR;525;{'nuclear': None, 'geothermal': None, 'biomass': 36, 'coal': 315, 'wind': 54, 'solar': 40, 'hydro': 48, 'gas': 426, 'oil': 13, 'unknown': 17, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 49, 'coal': 423, 'wind': 73, 'solar': 54, 'hydro': 65, 'gas': 572, 'oil': 18, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 327};19;19;950;1277;0;327
2020-01-05 18:00:00;IT-SAR;545;{'nuclear': None, 'geothermal': None, 'biomass': 41, 'coal': 398, 'wind': 83, 'solar': None, 'hydro': 57, 'gas': 502, 'oil': 16, 'unknown': 20, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 47, 'coal': 454, 'wind': 95, 'solar': None, 'hydro': 65, 'gas': 573, 'oil': 18, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 157};16;16;1118;1275;0;157
2020-01-05 21:00:00;IT-SAR;539;{'nuclear': None, 'geothermal': None, 'biomass': 40, 'coal': 361, 'wind': 78, 'solar': None, 'hydro': 56, 'gas': 492, 'oil': 15, 'unknown': 20, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 47, 'coal': 421, 'wind': 91, 'solar': None, 'hydro': 65, 'gas': 573, 'oil': 18, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 176};16;16;1062;1238;0;176
2020-01-06 00:00:00;IT-SAR;524;{'nuclear': None, 'geothermal': None, 'biomass': 30, 'coal': 256, 'wind': 75, 'solar': None, 'hydro': 41, 'gas': 357, 'oil': 13, 'unknown': 14, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 407, 'wind': 120, 'solar': None, 'hydro': 65, 'gas': 568, 'oil': 20, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 464};19;19;787;1251;0;464
2020-01-06 03:00:00;IT-SAR;515;{'nuclear': None, 'geothermal': None, 'biomass': 26, 'coal': 217, 'wind': 75, 'solar': None, 'hydro': 35, 'gas': 302, 'oil': 11, 'unknown': 12, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 408, 'wind': 141, 'solar': None, 'hydro': 65, 'gas': 567, 'oil': 20, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 595};20;20;677;1272;0;595
2020-01-06 06:00:00;IT-SAR;505;{'nuclear': None, 'geothermal': None, 'biomass': 31, 'coal': 260, 'wind': 107, 'solar': None, 'hydro': 41, 'gas': 362, 'oil': 13, 'unknown': 15, 'hydro discharge': None, 'battery discharge': None};{'nuclear': None, 'geothermal': None, 'biomass': 48, 'coal': 408, 'wind': 168, 'solar': None, 'hydro': 65, 'gas': 568, 'oil': 20, 'unknown': 23, 'hydro discharge': None, 'battery discharge': None};{'IT-CSO': 0};{'IT-CSO': 471};22;22;829;1300;0;471
